PubTitle,Newspaper
Pacific Daily News,Pacific Daily News
Palladium - Item,Palladium - Item
Palm Beach Daily News,Palm Beach Daily News
Palm Beach Post,Palm Beach Post
PanamaCity.com,PanamaCity.com
Pantagraph,Pantagraph
Parkersburg Sentinel,Parkersburg Sentinel
Pasadena Star - News,Pasadena Star - News
Pensacola News Journal,Pensacola News Journal
Petaluma Argus-Courier,Petaluma Argus-Courier
Philadelphia Daily News,Philadelphia Daily News
Philadelphia Inquirer,Philadelphia Inquirer
Phoenix Gazette,Phoenix Gazette
Pittsburgh Post - Gazette,Pittsburgh Post - Gazette
Port St. Lucie News Tribune,Port St. Lucie News Tribune
Portland Press Herald,Portland Press Herald
Post Journal,Post Journal
Press,Press
Press - Citizen,Press - Citizen
Press - Telegram,Press - Telegram
Press & Sun-Bulletin,Press & Sun-Bulletin
Press of Atlantic City,Press of Atlantic City
ProPublica,ProPublica
Providence Journal,Providence Journal
Providence Journal - Bulletin,Providence Journal
Public Opinion,Public Opinion
Pueblo Chieftain,Pueblo Chieftain
Quincy Herald - Whig,Quincy Herald - Whig
Ravalli Republic,Ravalli Republic
Reading Eagle,Reading Eagle
Record Courier,Record Courier
Record Searchlight,Record Searchlight
Redlands Daily Facts,Redlands Daily Facts
Reflejos,Reflejos
Reno Gazette - Journal,Reno Gazette - Journal
Republican & Herald,Republican & Herald
Rhinelander Daily News,Rhinelander Daily News
Richmond Times - Dispatch,Richmond Times - Dispatch
Roanoke Times & World News,Roanoke Times & World News
Rochester Democrat and Chronicle,Rochester Democrat and Chronicle
Rocky Mount Telegram,Rocky Mount Telegram
Rocky Mountain News,Rocky Mountain News
Rocky Mountain News (2007-Current),Rocky Mountain News
Ruidoso News,Ruidoso News
Saint Paul Pioneer Press,Saint Paul Pioneer Press
San Antonio Express-News,San Antonio Express-News
San Diego Tribune,San Diego Tribune
San Francisco Chronicle,San Francisco Chronicle
San Francisco Chronicle (pre-1997 Fulltext),San Francisco Chronicle
San Francisco Examiner,San Francisco Examiner
San Gabriel Valley Tribune,San Gabriel Valley Tribune
San Jose Mercury News,San Jose Mercury News
San Ramon Valley Times,San Ramon Valley Times
Santa Maria Times,Santa Maria Times
Sarasota Herald Tribune,Sarasota Herald Tribune
Savannah Morning News,Savannah Morning News
Seattle Post - Intelligencer,Seattle Post - Intelligencer
Seattle Times,Seattle Times
Sentinel,Sentinel
Sentinel & Enterprise,Sentinel & Enterprise
Shelby Star,Shelby Star
Silver City Daily Press,Silver City Daily Press
South Bend Tribune,South Bend Tribune
South Florida Sun - Sentinel,South Florida Sun - Sentinel
Spartanburg Herald - Journal,Spartanburg Herald - Journal
Spokesman Review,Spokesman Review
Springfield News - Sun,Springfield News - Sun
Springfield News Leader,Springfield News Leader
St. Cloud Times,St. Cloud Times
St. Joseph News - Press,St. Joseph News - Press
St. Louis Post - Dispatch,St. Louis Post - Dispatch
St. Louis Post - Dispatch (pre-1997 Fulltext),St. Louis Post - Dispatch
St. Petersburg Times,St. Petersburg Times
Standard - Speaker,Standard - Speaker
Standard Times,Standard Times
Star - Gazette,Star - Gazette
Star - News,Star - News
Star Press,Star Press
Star Tribune,Star Tribune
State Journal Register,State Journal Register
Statesman Journal,Statesman Journal
Stevens Point Journal,Stevens Point Journal
Sun Journal,Sun Journal
Sun Sentinel,Sun Sentinel
Sunday Gazette - Mail,Sunday Gazette - Mail
Sunday News,Sunday News
Syracuse Herald American,Syracuse Herald American
Syracuse Herald Journal,Syracuse Herald Journal
Tallahassee Democrat,Tallahassee Democrat
Tampa Bay Times,Tampa Bay Times
Tampa Tribune,Tampa Tribune
Targeted News Service,Targeted News Service
Telegram & Gazette,Telegram & Gazette
Telegraph - Forum,Telegraph - Forum
Telegraph - Herald,Telegraph - Herald
The Advocate,The Advocate
The American Israelite,The American Israelite
The Atlanta Constitution,The Atlanta Journal - Constitution
The Atlanta Constitution (pre-1997 Fulltext),The Atlanta Journal - Constitution
The Atlanta Journal,The Atlanta Journal - Constitution
The Atlanta Journal - Constitution,The Atlanta Journal - Constitution
The Atlanta Journal (pre-1997 Fulltext),The Atlanta Journal - Constitution
The Atlanta Journal the Atlanta Constitution,The Atlanta Journal - Constitution
The Atlanta Journal the Atlanta Constitution (pre-1997 Fulltext),The Atlanta Journal - Constitution
The Augusta Chronicle,The Augusta Chronicle
The Baltimore Sun,The Baltimore Sun
The Banner,The Banner
The Beaufort Gazette,The Beaufort Gazette
The Berkshire Eagle,The Berkshire Eagle
The Billings Gazette,The Billings Gazette
The Blade,The Blade
The Boston Banner,The Boston Banner
The Brattleboro Reformer,The Brattleboro Reformer
The Burlington Free Press,The Burlington Free Press
The Burlington Record,The Burlington Record
The Business Press,The Business Press
The Charleston Gazette,The Charleston Gazette
The Christian Science Monitor,The Christian Science Monitor
The Christian Science Monitor (pre-1997 Fulltext),The Christian Science Monitor
The Clarion Ledger,The Clarion Ledger
The Commercial Appeal,The Commercial Appeal
The Commercial Appeal (2007-Current),The Commercial Appeal
The Courier,The Courier
The Daily Advertiser,The Daily Advertiser
The Daily Camera,The Daily Camera
The Daily Chronicle,The Daily Chronicle
The Daily Herald,The Daily Herald
The Daily Journal,The Daily Journal
The Daily News,The Daily News
The Daily News Journal,The Daily News Journal
The Daily News Leader,The Daily News Leader
The Daily Progress,The Daily Progress
The Daily Reporter,The Daily Reporter
The Daily Sentinel,The Daily Sentinel
The Daily Tribune,The Daily Tribune
The Daily World,The Daily World
The Dalles Chronicle,The Dalles Chronicle
The Deming Headlight,The Deming Headlight
The Desert Sun,The Desert Sun
The Destin Log,The Destin Log
The Detroit News and Detroit Free Press,The Detroit News and Detroit Free Press
The Dispatch,The Dispatch
The Estes Park Trail - Gazette,The Estes Park Trail - Gazette
The Evening News,The Evening News
The Evening Sun,The Evening Sun
The Flint Journal,The Flint Journal
The Fort Morgan Times,The Fort Morgan Times
The Fresno Bee,The Fresno Bee
The Garden Island,The Garden Island
The Gazette,The Gazette
The Gleaner,The Gleaner
The Grand Rapids Press,The Grand Rapids Press
The Greenville News,The Greenville News
The Herald,The Herald
The Herald - Times,The Herald - Times
The Hutchinson News,The Hutchinson News
The Intelligencer,The Intelligencer
The Island Packet,The Island Packet
The Item,The Item
The Ithaca Journal,The Ithaca Journal
The Jackson Sun,The Jackson Sun
The Janesville Gazette,The Janesville Gazette
The Journal News,The Journal News
The Lamar Ledger,The Lamar Ledger
The Leaf Chronicle,The Leaf Chronicle
The Ledger,The Ledger
The Marshall News Messenger,The Marshall News Messenger
The Mecklenburg Times,The Mecklenburg Times
The Mercury News,The Mercury News
The Modesto Bee,The Modesto Bee
The Monitor,The Monitor
The Napa Register,The Napa Register
The New York Observer,The New York Observer
The News - Item,The News - Item
The News - Messenger,The News - Messenger
The News - Times,The News - Times
The News Herald,The News Herald
The News Journal,The News Journal
The News Leader,The News Leader
The News Press,The News Press
The News Tribune,The News Tribune
The Northwoods River News,The Northwoods River News
The Oregonian,The Oregonian
The Parkersburg News,The Parkersburg News
The Patriot,The Patriot - News
The Patriot - News,The Patriot - News
The Patriot Ledger,The Patriot Ledger
The Plain Dealer,The Plain Dealer
The Post - Crescent,The Post - Crescent
The Post - Standard,The Post - Standard
The Post - Tribune,The Post - Tribune
The Post and Courier,The Post and Courier
The Poughkeepsie Journal,The Poughkeepsie Journal
The Press - Enterprise,The Press - Enterprise
The Press Democrat,The Press Democrat
The Progress - Index,The Progress - Index
The Providence Journal,The Providence Journal
The Providence Sunday Journal,The Providence Journal
The Record,The Record
The Register - Guard,The Register - Guard
The Reporter,The Reporter
The Roanoke Times,The Roanoke Times
The Sacramento Bee,The Sacramento Bee
The Salina Journal,The Salina Journal
The Salinas Californian,The Salinas Californian
The Salt Lake Tribune,The Salt Lake Tribune
The San Diego Union,The San Diego Union - Tribune
The San Diego Union - Tribune,The San Diego Union - Tribune
The Santa Fe New Mexican,The Santa Fe New Mexican
The Santa Rosa Press Gazette,The Santa Rosa Press Gazette
The Spectrum,The Spectrum
The Star,The Star
The Stuart News,The Stuart News
The Sun,The Sun
The Sun Journal,The Sun Journal
The Sunday Patriot - News,The Sunday Patriot - News
The Taos News,The Taos News
The Tennessean,The Tennessean
The Texas Tribune,The Texas Tribune
The Times,The Times
The Times - Tribune,The Times - Tribune
The Town Talk,The Town Talk
The Tribune,The Tribune
The Tuscaloosa News,The Tuscaloosa News
The Union Leader,The Union Leader
The Valley Dispatch,The Valley Dispatch
The Valley Times,The Valley Times
The Village Voice,The Village Voice
The Walton Sun,The Walton Sun
The Washington Post,The Washington Post
The Washington Post (pre-1997 Fulltext),The Washington Post
The York Dispatch,The York Dispatch
Thousand Oaks Star & News Chronicle,Thousand Oaks Star & News Chronicle
Times - News,Times - News
Times - Picayune,Times - Picayune
Times - Picayune (pre-1997 Fulltext),Times - Picayune
Times Daily,Times Daily
Times Herald,Times Herald
Times Leader,Times Leader
Times News,Times News
Times Record News,Times Record News
Times Recorder,Times Recorder
Times Republican,Times Republican
Times Union,Times Union
Topeka Capital Journal,Topeka Capital Journal
Topsail Advertiser,Topsail Advertiser
Trentonian,Trentonian
Tri - City Herald,Tri - City Herald
Tri - Valley Herald,Tri - Valley Herald
Tribune - Review,Tribune - Review
Tribune - Review / Pittsburgh Tribune - Review,Tribune - Review
Tribune Herald,Tribune Herald
Tucson Citizen,Tucson Citizen
Tulare Advance - Register,Tulare Advance - Register
Tulsa World,Tulsa World
USA TODAY,USA Today
USA Today (Online),USA Today
USA TODAY (pre-1997 Fulltext),USA Today
Valley Daily News,Valley Daily News
Valley Morning Star,Valley Morning Star
Valley News,Valley News
Ventura County Star,Ventura County Star
Vida en el Valle,Vida en el Valle
Virginian - Pilot,Virginian - Pilot
Visalia Times - Delta,Visalia Times - Delta
Visalia Times - Delta / Tulare Advance - Register,Visalia Times - Delta
Waco Tribune - Herald,Waco Tribune - Herald
Wall Street Journal,Wall Street Journal
Wall Street Journal (Online),Wall Street Journal
Washington Examiner,Washington Examiner
Washington Informer,Washington Informer
Wausau Daily Herald,Wausau Daily Herald
Wenatchee World,Wenatchee World
West County Times,West County Times
Wheeling Intelligencer,Wheeling Intelligencer
Wheeling News Register,Wheeling News Register
Whittier Daily News,Whittier Daily News
Winston - Salem Journal,Winston - Salem Journal
Wisconsin State Journal,Wisconsin State Journal
World,World
Wyoming Tribune - Eagle,Wyoming Tribune - Eagle
Yakima Herald - Republic,Yakima Herald - Republic
York Daily Record,York Daily Record
